text,label,label_name
dear experian i am writing to formally dispute the accuracy of certain information reported on my credit report under section of the fair credit reporting act. the specific information i am disputing is as follows : fraudulent accounts : - - - - fraudulent inquiries : - //year>,2,Credit Reporting
my debit card was closed without any notice to me. i had no access to my money for a few days until a temporary card was issued. the bank could only tell me that it was notified by someone that a potential breach had occurred and to close my account. the could not tell me who initiated the closure or when. i think i have a right to know these things.,0,Bank Account
"i have an account on my credit report that belongs to someone else. has improperly and illegally opened an account that i am not aware of. i have never resided in the state of georgia nor have i ever cosigned with anyone on any account in georgia. the merchant needs to provide proof of ownership of this account and if not, i am requesting this account be removed immediately. i have requested this information from the creditor multiple times and have failed to receive it.",2,Credit Reporting
""" upgrade '', the arm of won't allow me to access my own account online or through their app, even after providing them with my old phone number, updated phone number, and selfie with personally identifiable information and account identifier handwritten on paper, and scotched taped to my chest in the selfie, as they requested. they will only speak with me via telephone regarding my account, but refuse to allow me to access my own account information.",0,Bank Account
"letter sent to collection agency : to whom it may concern : this letter is being sent to you in response to a listing on my credit report. this is not a refusal to pay, but a notice to request validation. under the fair debt collections practices act ( fdcpa ), i have the right to request validation of the debt you say i owe you. be advised that i am not requesting a "" verification '' ; i am requesting a "" validation ; '' that is, competent evidence that i have some contractual obligation to pay you. please provide at least the following information within 30 days from the date of your receipt of this request for validation : name and address of alleged creditor : name on file of alleged debtor : alleged account # : address on file for alleged debtor : amount of alleged debt : date that this alleged debt became payable : date of original charge off or delinquency : was this debt assigned to debt collector or purchased? amount paid if debt was purchased : agreement that bears the signature of the alleged debtor wherein he or she agreed to pay the creditor. if your offices fail to respond to this validation request within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit file and a copy of such deletion request shall be sent to me immediately. sincerely,",3,Debt collection
"hello, pressler and pressler llp counsellors at law . , new jersey . ( ) are trying to collect on a debt that is past the statue of limitations. furthermore, it is my husband 's who is deceased. the original debt is a credit card sold to . so not only is pressler attempting to collect this expired debt so is ! moreover, where they served/mailed the court notice is a place i have n't lived for three years! it was wiped out by the !",3,Debt collection
i have settled this account in full and have not been provided a title from regional acceptance corporation despite several attempts to make contact,9,Vehicle loan or lease
"complaint summary : i have a citi credit card with a promotional 0 % apr balance transfer of approximately {$8200.00}, with no other balances at the time of the transfer. despite this, ive been charged interest on purchases across multiple billing cycles, even though ive made consistent, timely payments far above the minimum due. timeline & details ( billing cycles end on the ) : // // cycle : starting balance transfer : {$8200.00} at 0 % apr purchases : {$0.00} interest charged : {$0.00} minimum payment : {$82.00} new purchases during cycle : // : {$180.00} ( just before cycle end ) : {$150.00} // : {$660.00} payments/credits applied in cycle : : {$110.00} credit : {$220.00} payment // : {$350.00} payment interest charged on // statement : {$12.00} ( 28.24 % apr ) purchase balance on statement : {$510.00} balance transfer balance : {$7900.00} new minimum payment : {$97.00} // // cycle : payments applied : // : {$430.00} payment ( just after cycle start ) interest charged on // statement : {$13.00} purchase balance on statement : {$590.00} balance transfer balance : {$7500.00} // // cycle : payments applied : // : {$210.00} payment ( cycle start ) interest charged on // statement : {$10.00} purchase balance on statement : {$460.00} balance transfer balance : {$7400.00} no new purchases made after my concern : i understand that new purchases accrue interest at the standard rate ( 28.24 % ). however, i believed that paying off new purchases in full even across billing cycles would stop further interest from accruing. ive paid well above the minimum required and significantly toward the purchases balance, yet interest continues to be charged on a declining principal. when i contacted citibank support, i was told that i had a grace period, but that i needed to make two consecutive full payments to stop interest from accruing. this is misleading. citis own disclosures state that grace period eligibility requires payment in full of the entire adjusted balance, including any 0 % balance transfers. this was never clearly explained at the time of the balance transfer, in the monthly statements, or during customer support interactions. by maintaining a large 0 % promotional balance, i unknowingly forfeited my grace period even though i made large, timely payments exceeding the minimum and intended to pay off purchases quickly. if citi had been clearer about how the grace period is lost and how it can be restored, i would not have made new purchases on this card. im requesting a refund of the interest charged and a clear, written explanation of their policy in my case.",1,Credit Card
on i received a phone call from my bank asking me to verify my information in order to receive payment from irs of . after speaking with my bank ( within minutes ) my account had been debited for . i immediately called the bank back ( the number on the back of my card ) and told them i think i may have just been scammed. i instructed the bank to immediately just close my account and mail me a check. i have called netspend multiple times regarding this issue as i have yet to have access to my . i was told on that a check had been mailed and given a bogus tracking number. i filed a police report the night of the happenings and i have sent over all required paperwork. i keep getting a run around from this bank ( netspend ) and would appreciate any help.,0,Bank Account
my card was locked on the day i was supposed to make a payment. the company called and i told them i was in a meeting at work. they kept being insistent and rude. i called to complain and the of threatened legal action and threatened to cancel my payment plan. i explained to him the situation about my card and he insisted on telling me that i was making excuses and i dont know how to manage my money or responsibility. i ended up making a payment later that day to resolve the issue.,3,Debt collection
