Product,Consumer complaint narrative
Mortgage,I purchased a newly constructed home in XX/XX/XXXX. My added assessment tax bill issued in XX/XX/XXXX was for 9 mo. My new lender raised my payment {$600.00} per month because they are basing my final XXXX tax bill on the 3rd QTR Added Assement bill. I have spoken to them 3 times. I have sent them the tax bills and assessment letter from XXXX XXXX showing my completed assessment but they will not fix the escrow analysis and correct my payment. I can not afford to pay {$600.00} extra a month because they are estimating my taxes {$3500.00} higher than they actually are. I dont know what to do. I shouldn't have to refinance a mortgage to fix an escrow problem. They will not let me speak to the tax company who prepares the analysis but no one at the mortgage servicing department seems to understand how taxes are billed in NJ. What can I do. this is a complete hardship
Credit reporting or other personal consumer reports,I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.
"Credit reporting, credit repair services, or other personal consumer reports","I am filing this complaint because Equifax has ignored my request to provide me with the documents that their company has on file that was used to verify the accounts I disputed. Being that they have gone past the 30 day mark and can not verify these accounts under Section 611 ( 5 ) ( A ) of the FRCA-they are required to "" ... promptly delete all information which can not be verified '' that I have disputed. 
Please resolve this matter as soon as possible. Thank You"
Credit reporting or other personal consumer reports,I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.
Credit card,"* * Subject : * * Complaint Regarding False Account Reporting by Self Incorporated ( Self Financial ) * * To Whom It May Concern, * * I am writing to formally file a complaint against * * Self Incorporated ( also known as Self Financial ) * * for falsely reporting a credit account to the credit bureaus under my name, allegedly related to a car account that I never applied for, opened, or received.

* * Details of the Complaint : * * - I have never opened any account with Self Financial. 
- I have never purchased or financed a car through Self Financial.

- Despite this, Self Financial is reporting a tradeline on my credit report that inaccurately reflects a credit account in my name. 
- This is a serious and damaging false report, and I believe it constitutes both a violation of federal law and a breach of my consumer rights.

* * Applicable Laws and Violations : * * 1. * * Fair Credit Reporting Act ( FCRA ), 15 U.S. Code 1681s-2 ( a ) : * * - This law prohibits furnishers of information ( like Self Financial ) from knowingly reporting inaccurate information to credit bureaus.

- Self Financial has failed to ensure the accuracy of the information being reported under my name, violating this provision.

2. * * FCRA, 15 U.S. Code 1681i : * * - I have a right to dispute inaccurate information on my credit report. The information provider is required to investigate and correct errors. 
- I have attempted to address this dispute, but to date, the incorrect information remains, and no resolution has been provided.

3. * * FCRA, 15 U.S. Code 1681b : * * - This provision restricts access to consumer reports. If Self Financial accessed my credit report to open this alleged account without my consent, this would be another violation. 

* * Impact on Me : * * - This inaccurate account is negatively affecting my credit score and financial reputation. 
- I am now subject to financial harm through no fault of my own. 
- This situation has caused me undue stress and confusion, especially given the nature of the account ( a vehicle-related account ) which is inconsistent with Self Financials usual services.

* * Request for Relief : * * I respectfully request that the Consumer Financial Protection Bureau : - Investigate Self Financial for the unauthorized and false reporting of an account in my name.

- Require Self Financial to provide documentation verifying the origin and authorization of this account.

- Order Self Financial to delete the false tradeline from all credit reporting agencies immediately. 
- Impose any appropriate penalties for their failure to comply with the Fair Credit Reporting Act. 

Thank you for your time and attention to this serious matter. I am attaching relevant documentation to support my claim."
Debt collection,"Disputed this account on all three credit bureaus and asked for validation ... .not address verification. 
Asked for chain of title if account was purchased from another country. 
Asked for "" itemized '' breakdown of all charges, interest, fees, penalties that result in the alleged amount owed. 

I received nothing back from them except a XXXX bill that clearly does not show any of this. And also proves that I DO NOT have an account or obligation to Diversified Consultants. 

I asked that this be removed from all 3 major credit bureaus and all collection attempts be ceased."
Debt collection,"LVNV Funding, LLC continues to erroneously report a collection account for a XXXX credit line that has not only been paid in full ( bank records have been submitted showing the final payment for full balance in XX/XX/XXXX ), but is also past the XXXX year mark allowed by law for debt collection companies to report such. Despite the fact that XXXX  has removed this account from my credit report because it was proven that it has been paid, LVNV Funding LLC continues to report this erroneous collection account with wrong dates, amount owed, etc. I have contacted their agency several times disputing their information, have requested for them to provide past payment history information and documents that would prove I do not owe this debt ; however, LVNV Funding LLC continues to report this account in error to my TransUnion credit bureau. This collection needs to be removed as I do not owe this debt any longer, their reporting dates are not only wrong, but an impossibility considering I could not have opened any accounts in XXXX due to XXXX. The accurate dates are the account was opened in XX/XX/XXXX, and it was paid off in XX/XX/XXXX as I have proof from bank records showing that my final payment was made in XX/XX/XXXX."
Credit card or prepaid card,"I went to XXXX in XXXX of XXXX looking to buy a house. 
I ordered a Glassdoor for my bathroom on XX/XX/XXXX, the merchant "" XXXX XXXX '' charged {$280.00} ( XXXX soles ) and agreed to have it installed by XX/XX/XXXX, Since I was using my credit card to make the payment I made the mistake of paying him in full. When the due date came the merchant never showed up. I called him many times but he never answered my calls. I needed to move into my new house by the end of XXXX so I ordered the door from a new merchant and placed a complaint with the bank. The bank gave me the credit for the full amount and I thought the deal was over. 
In XXXX I received a letter from the bank requesting me additional documents and the credit was reversed, by then I was already in my new house, and the Pandemia has forced the government to put us in quarantine. On XX/XX/XXXX I sent a letter to the bank letting them know that the merchant never finished his job. Finally, on the XXXX of XXXX, the merchandise answered me saying he will back in XXXX the following Tuesday to install the door. 
It was very difficult for me to communicate with the bank I couldn't get internet services for the new house before the lock-up I was just limited to my phone. 
When I got back home, I sent a letter to the bank with a full explanation of what had happened."
Credit reporting or other personal consumer reports,"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the TransUnion credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of a Hospital Medical Bill named FL XXXX XXXX XXXX XXXX XXXX  its several accounts I counted 6 different accounts some have the same amount of debt like its duplicated. 

These accounts have resulted in several fraudulent hard inquiries and fraudulent collections appearing on my consumer XXXX credit report. I've attached a list of the hard inquiries in question as well as a copy of the consumer XXXX  credit report maintained by you which shows the aforementioned fraudulent items. I do not recognize the aforementioned accounts, collections, or hard inquiries as reported. The aforementioned accounts, collections, and hard inquiries appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I have attached a copy of FTC Identity Theft Criminal Complaint # ( XXXX ) as proof from the US Federal Trade Commission that all of the aforementioned consumer credit accounts, collections, and hard inquiries are the result of identity theft and fraud."
Debt collection,This information had been successfully removed but the previous company of this alleged debt sold this to a new company.
